REF_DATE,POWER,Trend,Seasonal,Residual
1981-01-01,36776181.0,31123650.16666667,1.1500864088759617,1.0274143608080233
1981-02-01,32733943.0,31248171.500000007,1.0405167960449022,1.0067569058754189
1981-03-01,34752552.0,31354249.000000007,1.0794008712993697,1.0268512463551351
1981-04-01,30319705.0,31453613.791666664,0.9757493991878087,0.9879071507346115
1981-05-01,29213972.0,31534358.625,0.9561697127631082,0.9688836412829916
1981-06-01,27657507.0,31556709.5,0.9091379497536417,0.9640321827036311
1981-07-01,28542357.0,31672294.58333333,0.9246251560228697,0.9746408293466363
1981-08-01,28809914.0,31864683.875000007,0.939372975423802,0.9624856998535826
1981-09-01,28593600.0,31934173.791666668,0.9049564213839847,0.9894309402491709
1981-10-01,31878238.0,31966877.666666664,0.9834610216746326,1.0139976250473262
1981-11-01,33165629.0,31977479.79166668,1.0245096085262666,1.0123436644938029
1981-12-01,36087585.0,31904508.125,1.1120136790436534,1.0171749043751221
1982-01-01,39848885.0,31760981.541666668,1.1500864088759617,1.0909171956947865
1982-02-01,34278582.0,31652626.5,1.0405167960449022,1.0407921310587889
1982-03-01,34875671.0,31607032.958333336,1.0794008712993697,1.0222475503094017
1982-04-01,30981479.0,31531788.54166667,0.9757493991878087,1.0069670235368344
1982-05-01,28806649.0,31470257.666666668,0.9561697127631082,0.9573207207166348
1982-06-01,26313510.0,31416478.16666667,0.9091379497536417,0.921279692139939
1982-07-01,26441716.0,31248927.0,0.9246251560228697,0.9151427044507143
1982-08-01,28310034.0,31094011.45833333,0.939372975423802,0.9692271581717059
1982-09-01,27999235.0,31063561.5,0.9049564213839847,0.9960181503413261
1982-10-01,30666737.0,31072169.583333336,0.9834610216746326,1.0035495911349084
1982-11-01,32900389.0,31127731.916666664,1.0245096085262666,1.0316622028457807
1982-12-01,35062117.0,31293606.5,1.1120136790436534,1.0075634104959723
1983-01-01,36853125.0,31533427.125000007,1.1500864088759617,1.016184755754884
1983-02-01,33556369.0,31757877.58333334,1.0405167960449022,1.0154870656588313
1983-03-01,34867085.0,31964019.708333347,1.0794008712993697,1.010581832205615
1983-04-01,31196659.0,32166945.25,0.9757493991878087,0.9939395531974728
1983-05-01,29924965.0,32375962.374999996,0.9561697127631082,0.9666649710934553
1983-06-01,29176184.0,32719829.0,0.9091379497536417,0.980816305635928
1983-07-01,29334737.0,33158247.625,0.9246251560228697,0.9568082765804663
1983-08-01,30803824.0,33470469.41666667,0.939372975423802,0.9797263036726048
1983-09-01,30452856.0,33732613.291666664,0.9049564213839847,0.9975860678522143
1983-10-01,33083329.0,33975672.54166668,0.9834610216746326,0.9901112376321125
1983-11-01,35500208.0,34205980.25,1.0245096085262666,1.013007874139914
1983-12-01,40715097.0,34429196.833333336,1.1120136790436534,1.0634533719365702
1984-01-01,41722192.0,34608656.87499999,1.1500864088759617,1.0482186947510315
1984-02-01,36180625.0,34827479.666666664,1.0405167960449022,0.9984008048608504
1984-03-01,38534282.0,34985955.58333333,1.0794008712993697,1.0204007439103693
1984-04-01,33362884.0,35113902.62499999,0.9757493991878087,0.9737471340858563
1984-05-01,33286125.0,35298770.08333333,0.9561697127631082,0.9862083679989752
1984-06-01,31172222.0,35398021.08333333,0.9091379497536417,0.9686323965141601
1984-07-01,31645740.0,35498465.50000001,0.9246251560228697,0.9641397099988027
1984-08-01,33744568.0,35693133.0,0.939372975423802,1.0064243608361167
1984-09-01,31315534.0,35886706.833333336,0.9049564213839847,0.9642697636022287
1984-10-01,35291380.0,36059256.708333336,0.9834610216746326,0.9951641413525047
1984-11-01,37728976.0,36165574.25,1.0245096085262666,1.0182715664252222
1984-12-01,40868353.0,36230018.45833334,1.1120136790436534,1.0143981559457897
1985-01-01,43979602.0,36346040.08333333,1.1500864088759617,1.0521162356013052
1985-02-01,38595235.0,36457384.29166667,1.0405167960449022,1.0174172308637701
1985-03-01,40765444.0,36563321.20833334,1.0794008712993697,1.032913074710168
1985-04-01,35272919.0,36672104.541666664,0.9757493991878087,0.9857511094200613
1985-05-01,33927711.0,36803570.58333333,0.9561697127631082,0.9641167370137764
1985-06-01,32077297.0,37050086.20833333,0.9091379497536417,0.9523109010308024
1985-07-01,33525184.0,37262447.62499999,0.9246251560228697,0.9730476015775912
1985-08-01,34537385.0,37438628.125,0.939372975423802,0.9820451690073678
1985-09-01,33065203.0,37543298.75,0.9049564213839847,0.9732201629451351
1985-10-01,36152511.0,37544849.583333336,0.9834610216746326,0.9791087829103197
1985-11-01,40023030.0,37589778.91666668,1.0245096085262666,1.0392598685199976
