REF_DATE,VALUE
1986-10-01,37355258.0
1986-11-01,41077855.0
1986-12-01,44787813.0
1987-01-01,46976721.0
1987-02-01,43445468.0
1987-03-01,44126419.0
1987-04-01,38571190.0
1987-05-01,36833784.0
1987-06-01,36162673.0
1987-07-01,37148381.0
1987-08-01,37022900.0
1987-09-01,34846101.0
1987-10-01,39114593.0
1987-11-01,41974172.0
1987-12-01,45885161.0
1988-01-01,48947792.0
1988-02-01,45936998.0
1988-03-01,45591145.0
1988-04-01,38964875.0
1988-05-01,36675301.0
1988-06-01,35748544.0
1988-07-01,36947700.0
1988-08-01,37985685.0
1988-09-01,35174780.0
1988-10-01,39368320.0
1988-11-01,41017465.0
1988-12-01,46687453.0
1989-01-01,47984645.0
1989-02-01,44870839.0
1989-03-01,44789884.0
1989-04-01,38641487.0
1989-05-01,36265199.0
1989-06-01,35027967.0
1989-07-01,36774766.0
1989-08-01,36514042.0
1989-09-01,34398001.0
1989-10-01,37186685.0
1989-11-01,40949306.0
1989-12-01,48748898.0
1990-01-01,46005554.0
1990-02-01,41512062.0
1990-03-01,41577172.0
1990-04-01,36756023.0
1990-05-01,35041004.0
1990-06-01,33268732.0
1990-07-01,35564641.0
1990-08-01,36145838.0
1990-09-01,34393162.0
1990-10-01,38400262.0
1990-11-01,40923903.0
1990-12-01,46473436.0
1991-01-01,49923726.0
1991-02-01,42162334.0
1991-03-01,44260280.0
1991-04-01,38659504.0
1991-05-01,37121831.0
1991-06-01,35041968.0
1991-07-01,36861187.0
1991-08-01,38383231.0
1991-09-01,36710422.0
1991-10-01,40366353.0
1991-11-01,42730721.0
1991-12-01,47624099.0
1992-01-01,50166452.0
1992-02-01,46100905.0
1992-03-01,45437655.0
1992-04-01,39990934.0
1992-05-01,37681256.0
1992-06-01,35267339.0
1992-07-01,36692550.0
1992-08-01,38018772.0
1992-09-01,37003564.0
1992-10-01,41715571.0
1992-11-01,44417635.0
1992-12-01,49030706.0
1993-01-01,51107447.0
1993-02-01,47224810.0
1993-03-01,46942060.0
1993-04-01,39985201.0
1993-05-01,36832307.0
1993-06-01,35723381.0
1993-07-01,38699856.0
1993-08-01,40724986.0
1993-09-01,37992499.0
1993-10-01,42081007.0
1993-11-01,44871180.0
1993-12-01,49091504.0
1994-01-01,55187422.0
1994-02-01,49416932.0
1994-03-01,49142978.0
1994-04-01,42219454.0
1994-05-01,40104276.0
1994-06-01,39181909.0
1994-07-01,41435913.0
1994-08-01,41908074.0
1994-09-01,39198829.0
1994-10-01,40889873.0
1994-11-01,44853431.0
1994-12-01,49948151.0
1995-01-01,51761022.0
1995-02-01,47853698.0
1995-03-01,48100126.0
1995-04-01,43843538.0
1995-05-01,40971919.0
1995-06-01,40489845.0
1995-07-01,41983717.0
1995-08-01,43309783.0
1995-09-01,39394171.0
1995-10-01,41350119.0
1995-11-01,46210438.0
1995-12-01,51807278.0
1996-01-01,54280723.0
1996-02-01,49594273.0
1996-03-01,49509776.0
1996-04-01,43766100.0
1996-05-01,41639483.0
1996-06-01,40666428.0
1996-07-01,42791497.0
1996-08-01,44593729.0
1996-09-01,41321348.0
1996-10-01,44386325.0
1996-11-01,48293715.0
1996-12-01,51044816.0
1997-01-01,55252830.0
1997-02-01,47664955.0
1997-03-01,50507643.0
1997-04-01,45041842.0
1997-05-01,42467530.0
1997-06-01,41030869.0
1997-07-01,43816610.0
1997-08-01,43609886.0
1997-09-01,40959177.0
1997-10-01,44242633.0
1997-11-01,47444650.0
1997-12-01,52401079.0
1998-01-01,51951853.0
1998-02-01,45532851.0
1998-03-01,49076245.0
1998-04-01,43627042.0
1998-05-01,41775403.0
1998-06-01,41764915.0
1998-07-01,44305359.0
1998-08-01,46180325.0
1998-09-01,41622652.0
1998-10-01,42326215.0
1998-11-01,45255195.0
1998-12-01,50515600.0
1999-01-01,52982525.0
1999-02-01,45692629.0
1999-03-01,48500682.0
1999-04-01,43580871.0
1999-05-01,42287140.0
1999-06-01,42731706.0
1999-07-01,46024122.0
1999-08-01,45447279.0
1999-09-01,43987478.0
1999-10-01,46451327.0
1999-11-01,47267093.0
1999-12-01,53140049.0
2000-01-01,57271638.0
2000-02-01,52266866.0
2000-03-01,50535074.0
2000-04-01,45641566.0
2000-05-01,45489843.0
2000-06-01,44354083.0
2000-07-01,46239724.0
2000-08-01,47465453.0
2000-09-01,44175167.0
2000-10-01,45337921.0
2000-11-01,48814457.0
2000-12-01,55781561.0
2001-01-01,55480062.0
2001-02-01,50651744.0
2001-03-01,51589692.0
2001-04-01,45740007.0
2001-05-01,44764028.0
2001-06-01,43780232.0
2001-07-01,44375933.0
2001-08-01,45846549.0
2001-09-01,40697250.0
2001-10-01,44437964.0
2001-11-01,46808577.0
2001-12-01,51585284.0
2002-01-01,54587355.0
2002-02-01,49812271.0
2002-03-01,52417786.0
2002-04-01,46786170.0
2002-05-01,44521133.0
2002-06-01,43586385.0
2002-07-01,48206240.0
2002-08-01,47394525.0
2002-09-01,43273418.0
2002-10-01,46735088.0
2002-11-01,48368901.0
2002-12-01,53039628.0
2003-01-01,57670223.0
2003-02-01,52700336.0
2003-03-01,51846147.0
2003-04-01,45550890.0
2003-05-01,42795051.0
2003-06-01,41005015.0
2003-07-01,45269372.0
2003-08-01,45425311.0
2003-09-01,40298546.0
2003-10-01,42966467.0
2003-11-01,46468433.0
2003-12-01,52222674.0
2004-01-01,58071726.0
2004-02-01,50420533.0
2004-03-01,49311591.0
2004-04-01,44234650.0
2004-05-01,42544138.0
2004-06-01,41747347.0
2004-07-01,46045442.0
2004-08-01,46070464.0
2004-09-01,42391075.0
2004-10-01,45654017.0
2004-11-01,48754118.0
2004-12-01,56046804.0
2005-01-01,58660124.0
2005-02-01,51031876.0
2005-03-01,53844989.0
2005-04-01,46504821.0
2005-05-01,45145394.0
2005-06-01,45769222.0
2005-07-01,48658569.0
2005-08-01,49206500.0
2005-09-01,44555418.0
2005-10-01,46967428.0
2005-11-01,50373952.0
2005-12-01,57092582.0
2006-01-01,56441389.0
2006-02-01,52672322.0
2006-03-01,54100224.0
2006-04-01,46323273.0
2006-05-01,45276180.0
2006-06-01,44511429.0
2006-07-01,48858918.0
2006-08-01,47752969.0
2006-09-01,41727894.0
2006-10-01,45416966.0
2006-11-01,47441533.0
2006-12-01,54574434.0
2007-01-01,57934815.0
2007-02-01,55195228.0
2007-03-01,54109989.0
2007-04-01,49001120.0
2007-05-01,47340338.0
2007-06-01,46084048.0
2007-07-01,47882404.0
2007-08-01,48161855.0
2007-09-01,42731316.0
2007-10-01,46575984.0
2007-11-01,51217155.0
2007-12-01,57338168.0
